Client_Name,Client_ID,Settlement_Currency,Bank_Name,Account_Number,Swift_Code,Source_System,Creation_Date
Dov Cronchey,CLT001,PKR,Maple Leaf Bank,113000609,CHASUS33,SystemD,10/31/2020
Carson Took,CLT002,NGN,Emerald Bank,101100045,BOFAUS3N,SystemG,3/18/2020
Rob Dybald,CLT003,EUR,Mountain View Bank,91101455,WFBIUS6S,SystemF,10-08-2020
Joelle McGiffie,CLT004,IDR,Silver Lake Bank,242071237,PNCCUS33,SystemA,5/29/2021
Wilt Runchman,CLT005,CNY,Maple Leaf Bank,123006389,MRMDUS33,SystemI,01-04-2021
Cacilia Helsdon,CLT006,IDR,Silver Lake Bank,322270262,CITIUS33,SystemH,10-06-2020
Kimball Hardwell,CLT007,HTG,Ocean Breeze Bank,71001630,PNCCUS33,SystemI,07-08-2021
Tony Jurn,CLT008,JPY,Silver Lake Bank,21114205,CHASUS33,SystemJ,3/29/2021
Konrad Sellstrom,CLT009,NIO,Rainbow Bank,82907736,CITIUS33,SystemE,03-08-2021
Durand Ketchen,CLT010,IDR,Ocean Breeze Bank,271071321,CITIUS33,SystemB,04-07-2020
Constantin Branscombe,CLT001,EUR,Sunset Bank,63106268,BOFAUS3N,SystemA,08-02-2020
Gil Coxall,CLT002,THB,Mountain View Bank,44208936,CITIUS33,SystemE,11/23/2020
Terrie Worsalls,CLT003,PKR,Golden Gate Bank,67008582,BOFAUS3N,SystemF,6/15/2020
Kin Gingold,CLT004,EUR,Rainbow Bank,26007508,BOFAUS3N,SystemC,05-08-2020
Maurise MacClay,CLT005,PEN,Silver Lake Bank,107089652,CITIUS33,SystemI,02-06-2021
Vinny Kitchiner,CLT006,PAB,Ocean Breeze Bank,54000030,PNCCUS33,SystemC,10/31/2020
Early Stallard,CLT007,JPY,Pineapple Bank,275071408,PNCCUS33,SystemJ,7/20/2020
Michel Puller,CLT008,BAM,Pineapple Bank,81200544,BOFAUS3N,SystemG,07-08-2021
Dominik Eilles,CLT009,BRL,Maple Leaf Bank,91900465,WFBIUS6S,SystemG,1/27/2021
Ives Feaveer,CLT010,IDR,Emerald Bank,321170282,CITIUS33,SystemG,11-02-2021
Nadine Wrathmell,CLT001,CNY,Silver Lake Bank,11100915,BOFAUS3N,SystemF,6/17/2020
Corinne Raleston,CLT002,PHP,Starlight Bank,44000037,CHASUS33,SystemA,2/24/2020
Daniel Fowls,CLT003,CZK,Emerald Bank,323270436,WFBIUS6S,SystemE,11-07-2020
Cherice Causley,CLT004,IDR,Rainbow Bank,63115738,FTBCUS3C,SystemC,2/17/2021
Sergio Costar,CLT005,IDR,Emerald Bank,122105278,WFBIUS6S,SystemC,12-12-2021
Michael Raitt,CLT006,ALL,Ocean Breeze Bank,125000024,BOFAUS3N,SystemA,9/28/2021
Armando Christofe,CLT007,RUB,Ocean Breeze Bank,111015159,WFBIUS6S,SystemF,4/25/2021
Jayne Coldbath,CLT008,PEN,Emerald Bank,307072278,BOFAUS3N,SystemF,11/19/2021
Petey Abrashkov,CLT009,XOF,Mountain View Bank,271070801,CITIUS33,SystemH,11-03-2020
Zachary Bilby,CLT010,AMD,Silver Lake Bank,71923323,FTBCUS3C,SystemH,09-08-2021
Rhonda Elcome,CLT001,CNY,Pineapple Bank,42200279,PNCCUS33,SystemF,10/14/2021
Caryn Legge,CLT002,SEK,Ocean Breeze Bank,322270055,CITIUS33,SystemC,12/29/2021
Farrell Badrick,CLT003,BRL,Sunset Bank,28000024,CHASUS33,SystemC,03-01-2020
Marlane Wickins,CLT004,EUR,Ocean Breeze Bank,111000614,CHASUS33,SystemB,12/16/2020
Hilliard MacDunleavy,CLT005,SEK,Golden Gate Bank,122240890,CITIUS33,SystemG,8/20/2020
Sydelle Durran,CLT006,PEN,Silver Lake Bank,67011294,BOFAUS3N,SystemI,8/20/2020
Haven Akaster,CLT007,HRK,Silver Lake Bank,72000915,PNCCUS33,SystemC,03-08-2020
Louisa Davidowich,CLT008,PLN,Rainbow Bank,91901862,CITIUS33,SystemE,12-09-2020
Maison Clough,CLT009,BRL,Golden Gate Bank,52102590,PNCCUS33,SystemA,7/17/2021
Morganne Grodden,CLT010,JPY,Emerald Bank,121000248,WFBIUS6S,SystemB,05-01-2020
Oates Ingliby,CLT001,RUB,Ocean Breeze Bank,101089292,WFBIUS6S,SystemD,2/21/2021
Tersina Linkleter,CLT002,ZAR,Starlight Bank,72000915,PNCCUS33,SystemA,1/24/2020
Tanitansy Quennell,CLT003,IDR,Ocean Breeze Bank,31302117,SVRNUS33,SystemI,04-11-2021
Ellen Ambroisin,CLT004,BRL,Sunset Bank,73921763,BOFAUS3N,SystemG,7/16/2021
Rosamond Fausch,CLT005,USD,Sunset Bank,83000108,PNCCUS33,SystemB,12/20/2021
Edwin Bradd,CLT006,SEK,Golden Gate Bank,221270758,SVRNUS33,SystemB,10/24/2020
Jillie Coldtart,CLT007,CNY,Rainbow Bank,28000325,BOFAUS3N,SystemH,4/18/2020
Nikkie Gornall,CLT008,CUP,Sunset Bank,84301767,BOFAUS3N,SystemB,3/19/2021
Shell Peddar,CLT009,THB,Maple Leaf Bank,53900377,BOFAUS3N,SystemA,7/22/2020
Merv Martinet,CLT010,USD,Maple Leaf Bank,21202311,PNCCUS33,SystemF,3/15/2020
Francklyn Edie,CLT001,VEF,Starlight Bank,62001209,PNCCUS33,SystemJ,05-02-2021
Veronika Linnemann,CLT002,CZK,Pineapple Bank,42202426,PNCCUS33,SystemB,7/29/2020
Juanita Simmins,CLT003,CNY,Rainbow Bank,113119105,CITIUS33,SystemJ,05-04-2021
Nels Mouth,CLT004,CNY,Mountain View Bank,107089555,CHASUS33,SystemA,02-07-2021
Zebadiah Idel,CLT005,EUR,Emerald Bank,55001766,PNCCUS33,SystemH,9/16/2020
Kamila De Marchi,CLT006,ARS,Mountain View Bank,111901629,CITIUS33,SystemH,05-10-2021
Herb Nursey,CLT007,BRL,Ocean Breeze Bank,83900363,USBKUS44IMT,SystemG,11-04-2020
Bond Wheatman,CLT008,XAF,Maple Leaf Bank,83905449,FTBCUS3C,SystemB,5/22/2021
Arne Elington,CLT009,VEF,Silver Lake Bank,111913798,NFBKUS33,SystemF,5/18/2020
Kort Heggie,CLT010,USD,Golden Gate Bank,104000058,WFBIUS6S,SystemC,01-10-2021
Moritz Morville,CLT001,PHP,Maple Leaf Bank,31100209,CITIUS33,SystemD,1/17/2020
Rollo Kondratovich,CLT002,COP,Emerald Bank,11101529,BOFAUS3N,SystemH,06-03-2020
Agna Strafen,CLT003,CNY,Silver Lake Bank,242071305,PNCCUS33,SystemG,7/13/2021
Latisha Verrick,CLT004,IDR,Pineapple Bank,22300186,MRMDUS33,SystemI,12-01-2020
Estele Gonnin,CLT005,JPY,Mountain View Bank,62205665,PNCCUS33,SystemG,10-01-2021
Ellery Wiggett,CLT006,CNY,Ocean Breeze Bank,55000372,PNCCUS33,SystemA,7/30/2021
Donall Milverton,CLT007,PLN,Silver Lake Bank,91310929,CITIUS33,SystemC,9/16/2020
Ragnar MacKain,CLT008,RSD,Rainbow Bank,321070007,CITIUS33,SystemI,9/18/2020
Clare Ferrieri,CLT009,BRL,Maple Leaf Bank,31000095,WFBIUS6S,SystemH,12-10-2020
Catrina McQuarter,CLT010,RUB,Golden Gate Bank,83907913,CITIUS33,SystemE,4/26/2021
Terri Evitts,CLT001,IQD,Maple Leaf Bank,28001081,MRMDUS33,SystemF,11-04-2021
Tess Prendergast,CLT002,BRL,Ocean Breeze Bank,81000210,USBKUS44IMT,SystemD,8/23/2020
Darcee Pantin,CLT003,XOF,Maple Leaf Bank,92900383,USBKUS44IMT,SystemE,8/21/2020
Melvyn Hairyes,CLT004,BDT,Mountain View Bank,28000082,CITIUS33,SystemG,11/20/2021
Isak Haldenby,CLT005,EUR,Ocean Breeze Bank,122100024,CHASUS33,SystemF,01-07-2021
Jamesy Gertray,CLT006,CNY,Golden Gate Bank,113102329,CITIUS33,SystemF,2/23/2021
Fritz Alexandersen,CLT007,BRL,Mountain View Bank,71901882,PNCCUS33,SystemC,11/23/2020
Martica Bendik,CLT008,XOF,Rainbow Bank,52100893,PNCCUS33,SystemF,05-12-2021
Lyndel Ilieve,CLT009,TZS,Silver Lake Bank,22000127,BOFAUS3N,SystemE,7/25/2021
Mignon Idwal Evans,CLT010,BRL,Pineapple Bank,31205913,PNCCUS33,SystemA,07-07-2020
Ricoriki Huggens,CLT001,EUR,Golden Gate Bank,83908307,CITIUS33,SystemC,4/18/2021
Steffie Blades,CLT002,CZK,Pineapple Bank,114000019,BOFAUS3N,SystemC,07-10-2020
Roxanna Hallyburton,CLT003,ARS,Rainbow Bank,41200050,FTBCUS3C,SystemI,8/13/2021
Kira Scardafield,CLT004,CNY,Golden Gate Bank,271973487,FTBCUS3C,SystemJ,10/25/2021
Mufinella Fideler,CLT005,CNY,Rainbow Bank,111104785,NFBKUS33,SystemH,7/19/2020
Twyla Camell,CLT006,RUB,Pineapple Bank,56009110,BOFAUS3N,SystemA,3/28/2020
Jolynn McDool,CLT007,RUB,Ocean Breeze Bank,51403915,PNCCUS33,SystemB,08-12-2021
Vanessa Benoist,CLT008,MXN,Ocean Breeze Bank,322270495,USBKUS44IMT,SystemE,04-08-2021
Bay Tipens,CLT009,VND,Mountain View Bank,122000661,BOFAUS3N,SystemJ,09-07-2020
Jordon Cottee,CLT010,YER,Mountain View Bank,111100792,NFBKUS33,SystemI,8/14/2020
Celine Wyldish,CLT001,CNY,Pineapple Bank,26073079,WFBIUS6S,SystemG,10/28/2020
Sigfrid Tidcomb,CLT002,EUR,Rainbow Bank,71107699,CITIUS33,SystemF,7/13/2020
Gabe Essberger,CLT003,CAD,Rainbow Bank,55001122,PNCCUS33,SystemF,10/15/2021
Roobbie Locock,CLT004,PLN,Golden Gate Bank,54000030,PNCCUS33,SystemF,4/20/2021
Vladimir Astupenas,CLT005,IDR,Ocean Breeze Bank,51503174,CITIUS33,SystemF,1/27/2021
Nikolaus Chrichton,CLT006,PEN,Pineapple Bank,42100272,FTBCUS3C,SystemJ,04-07-2020
Abramo Ravelus,CLT007,PLN,Starlight Bank,113024915,NFBKUS33,SystemA,09-01-2021
Dalenna Blaymires,CLT008,RSD,Golden Gate Bank,102103258,CITIUS33,SystemD,02-09-2020
Wanda Whiten,CLT009,ERN,Sunset Bank,101102331,CITIUS33,SystemJ,3/27/2021
Bald Lethcoe,CLT010,CNY,Emerald Bank,122101191,WFBIUS6S,SystemD,02-06-2020
Fidela Temlett,CLT001,EUR,Sunset Bank,211470319,BOFAUS3N,SystemB,2/23/2021
Daphna Larwood,CLT002,CNY,Ocean Breeze Bank,53108580,WFBIUS6S,SystemG,4/14/2020
Florian Allner,CLT003,XOF,Rainbow Bank,325070951,CHASUS33,SystemF,07-02-2020
Chrissie Jacmard,CLT004,KPW,Ocean Breeze Bank,41215537,WFBIUS6S,SystemC,10-11-2021
Federica Sterte,CLT005,PEN,Mountain View Bank,124002971,WFBIUS6S,SystemI,03-11-2021
Ana Mustoe,CLT006,RUB,Silver Lake Bank,61209756,WFBIUS6S,SystemA,2/28/2020
Wesley Jori,CLT007,CNY,Ocean Breeze Bank,91300010,WFBIUS6S,SystemC,2/24/2021
Christabella Savoury,CLT008,CNY,Golden Gate Bank,22000020,MRMDUS33,SystemI,01-04-2021
Dominique Clausius,CLT009,MXN,Silver Lake Bank,64003768,WFBIUS6S,SystemJ,11-12-2021
Pru Ferrarone,CLT010,IDR,Mountain View Bank,125007098,MRMDUS33,SystemD,11/15/2020
Maurizia Dreghorn,CLT001,JPY,Sunset Bank,41203895,PNCCUS33,SystemE,7/21/2021
Lindy Callery,CLT002,EUR,Rainbow Bank,63000021,WFBIUS6S,SystemB,05-03-2020
Hubey Tutsell,CLT003,CAD,Pineapple Bank,64101673,BOFAUS3N,SystemH,01-07-2020
Garnette Bortolussi,CLT004,CNY,Silver Lake Bank,64103833,FTBCUS3C,SystemB,03-01-2020
Rae Kingsmill,CLT005,CNY,Pineapple Bank,122000247,WFBIUS6S,SystemH,6/20/2021
Gav Franklen,CLT006,NGN,Emerald Bank,43300738,PNCCUS33,SystemH,10/14/2021
Lannie Bambridge,CLT007,RUB,Sunset Bank,83000137,CHASUS33,SystemI,12/22/2021
Rochelle Abrahami,CLT008,MXN,Maple Leaf Bank,102000076,WFBIUS6S,SystemE,4/20/2020
Krisha Struss,CLT009,PHP,Sunset Bank,21000322,BOFAUS3N,SystemE,07-03-2020
Virge Vaudin,CLT010,IDR,Rainbow Bank,322271096,CITIUS33,SystemE,1/28/2021
Reina Vamplers,CLT001,HRK,Golden Gate Bank,64101301,CITIUS33,SystemD,12-11-2021
Idelle Stoller,CLT002,CAD,Emerald Bank,67091780,WFBIUS6S,SystemG,5/21/2021
Annabel Matusevich,CLT003,NGN,Maple Leaf Bank,254070116,CITIUS33,SystemG,07-02-2021
Walker Jay,CLT004,ZAR,Golden Gate Bank,53100559,BOFAUS3N,SystemI,8/16/2021
Dorene Volonte,CLT005,EUR,Mountain View Bank,63201040,BOFAUS3N,SystemH,04-07-2021
Bud Walne,CLT006,BRL,Sunset Bank,121141534,WFBIUS6S,SystemC,9/20/2020
Priscilla Bamell,CLT007,IDR,Golden Gate Bank,92905278,WFBIUS6S,SystemJ,07-11-2021
Raddie Clancey,CLT008,PHP,Maple Leaf Bank,122240890,CITIUS33,SystemB,07-06-2021
Thatcher Parkman,CLT009,CRC,Golden Gate Bank,242071305,PNCCUS33,SystemH,8/27/2021
Sandro Panniers,CLT010,CNY,Golden Gate Bank,321070007,CITIUS33,SystemB,03-04-2021
Charil Dunn,CLT001,PHP,Emerald Bank,63100552,BOFAUS3N,SystemH,5/17/2020
Rori Calder,CLT002,CNY,Maple Leaf Bank,63114632,PNCCUS33,SystemC,12/23/2021
Jo McCague,CLT003,EGP,Mountain View Bank,65403150,CITIUS33,SystemI,12/24/2021
Urban Walsh,CLT004,CNY,Maple Leaf Bank,74908594,FTBCUS3C,SystemJ,8/20/2020
Marje Toffano,CLT005,RUB,Maple Leaf Bank,107002192,WFBIUS6S,SystemC,12/26/2020
Cazzie Keary,CLT006,CNY,Sunset Bank,221371822,MRMDUS33,SystemA,5/23/2020
Mahalia Errichelli,CLT007,CAD,Maple Leaf Bank,53000219,WFBIUS6S,SystemF,2/26/2021
Janith Cordelle,CLT008,SEK,Mountain View Bank,111924350,CITIUS33,SystemH,9/22/2020
Constantine Van Halle,CLT009,IDR,Ocean Breeze Bank,26009645,CITIUS33,SystemE,11/19/2021
Pincus Egdell,CLT010,ARS,Rainbow Bank,122240104,CITIUS33,SystemE,03-03-2020
Darsie Hourstan,CLT001,MXN,Ocean Breeze Bank,56001011,BOFAUS3N,SystemJ,09-12-2020
Thaddeus Ugo,CLT002,UAH,Sunset Bank,111913798,NFBKUS33,SystemF,07-01-2021
Bryanty McGrey,CLT003,CNY,Rainbow Bank,114993906,CITIUS33,SystemG,5/16/2020
Ermentrude Coat,CLT004,EUR,Emerald Bank,65405491,CITIUS33,SystemJ,1/26/2021
Jody Higford,CLT005,CNY,Rainbow Bank,255072935,WFBIUS6S,SystemE,10/27/2021
Collen Gypps,CLT006,RUB,Mountain View Bank,121181866,WFBIUS6S,SystemD,5/25/2021
Ottilie Boost,CLT007,RUB,Golden Gate Bank,91409681,CITIUS33,SystemE,09-09-2020
Winslow Stanluck,CLT008,BRL,Starlight Bank,43300738,PNCCUS33,SystemA,10-08-2021
Christy Bullent,CLT009,IQD,Emerald Bank,56004720,PNCCUS33,SystemB,06-12-2020
Warner Seelbach,CLT010,RUB,Ocean Breeze Bank,122242607,WFBIUS6S,SystemI,5/18/2020
Quinn Wybern,CLT001,RUB,Golden Gate Bank,65103887,PNCCUS33,SystemF,1/26/2021
Janice Stribling,CLT002,USD,Starlight Bank,74912988,PNCCUS33,SystemD,04-09-2020
Junina Mettrick,CLT003,ALL,Emerald Bank,81221497,BOFAUS3N,SystemF,6/18/2021
Sigfrid O'Keevan,CLT004,CNY,Sunset Bank,91409704,CITIUS33,SystemB,4/22/2020
Wells Youle,CLT005,EUR,Golden Gate Bank,102307164,WFBIUS6S,SystemF,6/23/2020
